"Real","Pred"
457.2945,485.321995317539
186.424,453.609148703578
800.987833333333,377.087827146047
755.526500000001,599.812686507956
645.742333333333,666.300694571331
802.373333333333,685.687574374354
707.916833333333,451.208547456146
433.646833333333,471.43965567066
760.891166666667,394.576501323599
779.2185,630.119723729017
748.635333333334,607.944836044339
741.426833333333,860.770270884017
228.216833333333,604.241560524546
593.722,516.043386797462
625.681333333333,700.192859492242
546.156333333333,526.443574507988
721.259833333333,573.928657811779
728.7785,556.62855322033
655.575333333333,662.796436703813
341.729166666667,420.979032096921
434.636833333333,649.303956628837
601.769,435.952175839766
210.3785,539.472702884487
225.283333333333,395.658056187128
139.684666666667,364.9956575365
563.750833333333,625.11132077595
397.515166666667,567.469294281693
709.811666666667,388.068318061788
474.608666666667,563.396713459627
549.231,538.843145629569
709.562833333334,651.823827233076
74.0105,376.879294031605
299.261666666667,558.229275804372
584.348333333333,561.107837808818
160.177166666667,503.521746015346
702.826,729.622464736529
622.937,499.487066185984
632.729166666667,499.477698389307
623.604833333333,432.038355799539
780.340500000001,591.190919374663
178.6665,413.214495865686
757.215333333334,669.413178769698
633.072166666667,514.661585802656
687.334833333333,542.879177268173
601.5345,407.55248233918
628.376333333333,520.94242997341
599.637166666667,609.816993443004
594.7995,468.201971676953
594.822833333334,684.22234848817
720.9605,550.765859090181
582.277166666667,345.083591970968
555.692833333333,439.624475303798
757.507833333333,430.553762984311
721.243666666667,752.560697216254
740.917833333333,555.072164711482
474.5575,686.173678235992
523.3285,327.181173931793
368.285833333333,327.398237234462
155.9055,805.726293028262
665.801666666667,658.498225611516
638.502,399.727858764454
258.851,574.466658864111
582.903333333333,423.281775272465
509.973166666667,270.247940249872
276.091166666667,613.809241766861
283.516333333333,433.012501096521
492.349166666667,675.709811565238
213.948833333333,400.897583256027
552.632,606.860352346819
442.920166666667,395.141917977512
278.086,620.745299509188
536.852166666667,562.449267797686
481.453833333333,642.973468849021
487.3115,689.389661759411
558.661,663.361299130896
638.165,525.065636469871
521.889,562.510382832512
326.941333333333,443.837572155471
683.9785,500.721330513525
634.297,361.992179141482
561.475666666667,575.413976473648
699.7145,568.43333780318
659.569333333333,505.098156659939
277.428,519.971803532407
504.4235,513.785672967386
619.811333333333,320.166200557127
648.202,538.331841857758
621.844166666667,629.45810930613
431.308166666667,646.824361279349
640.358166666667,587.788517447637
615.57,370.142678268585
653.436,494.592057289657
569.7295,353.167303182164
429.989666666667,361.607833634124
605.044833333333,652.695248585673
324.6495,617.0073050907
325.813666666667,482.409542714281
586.6095,560.930834054844
513.4895,355.041326323262
310.4445,503.692782900466
291.611,569.845496501975
206.439166666667,463.357058311652
308.693833333333,355.524115125658
578.764333333333,629.632967558395
585.209500000001,389.596687098917
600.5785,452.647063132576
475.270166666667,558.707334914253
567.280833333333,391.790728574837
399.720666666667,413.621637829074
548.567166666667,455.368703884823
537.652,350.341539973481
595.153833333333,395.119170535469
265.327333333333,730.107871297665
203.224166666667,442.057889050216
457.442666666667,448.870818562641
217.6155,321.975152904706
174.892666666667,408.423393650469
436.983333333333,484.62598667475
92.4215000000002,593.224909115855
353.809,338.043751368359
384.041,537.460227008658
597.546666666667,280.296674879129
508.066333333333,678.1497174414
499.705833333333,610.864946378667
496.8215,577.672272758576
474.393166666667,368.297698649515
446.000166666667,495.505056288912
219.790833333333,439.547070893342
463.059166666667,313.357512383554
560.924666666667,541.931569470928
545.7145,448.809364665332
472.7985,672.449418200561
490.291666666667,357.080195702958
492.643166666667,518.846313856062
484.712666666667,558.244843767152
475.951666666667,411.351016915218
408.814333333333,519.287714236077
494.867,682.520313078994
484.498833333333,468.796065691107
280.223166666667,370.35133174412
458.853333333333,342.885737728079
464.6535,290.83065606267
521.727333333333,471.277243018613
467.653166666667,507.141064072549
389.381333333333,386.08057350389
531.404333333334,317.410088320841
543.356666666667,393.887914473133
529.119166666667,661.577150052337
473.160500000001,571.177468936659
181.949333333333,585.360992718971
215.475666666667,657.756553976752
222.919,488.465484275353
3.40683333333333,379.15617298487
498.418166666667,322.776663070864
331.349333333333,502.451618003698
505.590166666667,346.703221582794
513.409666666667,291.930530295947
476.668666666667,511.712821540607
509.352666666667,498.819415604568
475.221,418.96744290908
187.342833333333,397.285174707258
384.8915,606.547768391383
387.309333333333,450.737201376467
201.8205,306.755764150335
355.187333333333,636.541812966894
422.504833333333,638.57039363189
216.943166666667,470.734395086192
136.697333333333,368.453212583517
469.221166666667,358.234641503762
368.729166666667,496.490523486293
129.144,331.739620825667
171.860833333333,525.113278400798
270.2495,325.870862791482
531.6065,552.364233278125
414.263333333333,583.726011630032
263.516833333333,416.780830211138
521.0455,330.878122847324
506.25,404.919334552288
454.6095,341.877565781125
462.797666666667,278.884624639494
515.397,276.945947655357
475.926166666667,456.869590755779
368.6645,361.078258057337
95.056,324.022183111482
536.909333333333,276.68277215779
512.871666666667,285.122911598802
495.672,273.162129595043
502.157166666667,471.57097256609
480.99,394.762208733486
176.065666666667,366.313080651999
109.2525,477.693463827238
246.1055,413.470427653445
220.098333333333,653.824800982981
187.643833333333,517.509663822156
105.444833333333,543.586849279772
383.5445,494.49254662393
275.959333333333,467.433036041567
464.9265,356.390968775033
456.4275,507.524269687149
336.449666666667,377.185103498614
450.581666666667,412.24105751207
452.867333333333,293.99367214951
505.8765,337.62028948144
519.5515,485.282098504369
296.614666666667,498.672580315837
198.067833333333,455.808578409507
528.203166666667,371.589937504073
496.020666666667,310.479926977395
519.242166666667,297.392000237292
514.589333333333,520.639797493663
524.153,554.848615719186
333.8345,441.364703771551
539.245166666668,404.514334284748
351.1085,436.499543736074
509.8475,547.806318704951
551.1055,617.610385988086
480.777166666667,261.414565602204
534.373833333333,447.61465594873
529.892,605.131349451678
485.569166666667,391.892852765555
450.1405,316.250123416584
543.812166666667,476.780745800027
466.9005,276.248144445024
569.1325,482.190301171031
564.971166666667,427.470885607384
430.735,528.017561488166
615.197666666667,452.856003676531
555.905166666667,551.477276569201
242.879833333333,154.353266792815
548.611166666667,570.011900083604
607.387166666667,479.754052877336
451.6535,410.126688109737
388.126,585.4712791594
67.4518333333333,359.444056082801
647.656833333333,204.547446415842
629.807166666667,583.449733241428
641.045333333333,482.381216984834
630.433666666667,532.386152746217
597.694333333333,624.261180468863
187.416166666667,347.839812322646
549.221833333333,572.351677964662
628.313333333333,485.890015194125
265.28,506.219838698472
648.251233333333,609.430286085702
661.0501,625.752725523982
441.6638,442.921750478219
476.175466666667,590.917064573821
160.981166666667,686.104768285799
268.743333333333,464.357993757675
209.965633333333,447.321202684448
326.930466666667,500.355508667017
647.308733333333,566.619911507767
